Rep,Compound,Area,Cruise
220623_Std_4uMStdsMix1InH2O_1,"Arsenobetaine, 13C2",NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,"Arsenobetaine, 13C2",NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,"Arsenobetaine, 13C2",592082688,KM1906
220623_Std_4uMStdsMix1InMatrix_2,"Arsenobetaine, 13C2",624408896,KM1906
220623_Std_4uMStdsMix2InH2O_1,"Arsenobetaine, 13C2",3530754,KM1906
220623_Std_4uMStdsMix2InH2O_2,"Arsenobetaine, 13C2",942984,KM1906
220623_Std_4uMStdsMix2InMatrix_1,"Arsenobetaine, 13C2",550668288,KM1906
220623_Std_4uMStdsMix2InMatrix_2,"Arsenobetaine, 13C2",650229760,KM1906
220623_Std_H2OinMatrix_1,"Arsenobetaine, 13C2",579297216,KM1906
220623_Std_H2OinMatrix_2,"Arsenobetaine, 13C2",672876416,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,"Arsenobetaine, 13C2",932628096,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,"Arsenobetaine, 13C2",1042514944,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,"Arsenobetaine, 13C2",1292356736,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,"Arsenobetaine, 13C2",462713408,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,"Arsenobetaine, 13C2",521192704,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,"Arsenobetaine, 13C2",659235584,KM1906
220623_Smp_CXSPE_Blk1_A,"Arsenobetaine, 13C2",949312128,KM1906
220623_Smp_CXSPE_Blk1_B,"Arsenobetaine, 13C2",967959232,KM1906
220623_Smp_CXSPE_Blk1_C,"Arsenobetaine, 13C2",990667264,KM1906
220623_Smp_CXSPE_Blk2_A,"Arsenobetaine, 13C2",945549568,KM1906
220623_Smp_CXSPE_Blk2_B,"Arsenobetaine, 13C2",994867328,KM1906
220623_Smp_CXSPE_Blk2_C,"Arsenobetaine, 13C2",911199296,KM1906
220623_Smp_CXSPE_Blk3_A,"Arsenobetaine, 13C2",940831808,KM1906
220623_Smp_CXSPE_Blk3_B,"Arsenobetaine, 13C2",1010237888,KM1906
220623_Smp_CXSPE_Blk3_C,"Arsenobetaine, 13C2",1018200384,KM1906
220623_Smp_CXSPE_Blk4_A,"Arsenobetaine, 13C2",1051413760,KM1906
220623_Smp_CXSPE_Blk4_B,"Arsenobetaine, 13C2",989017152,KM1906
220623_Smp_CXSPE_Blk4_C,"Arsenobetaine, 13C2",1236481408,KM1906
220623_Smp_MQBlk_1,"Arsenobetaine, 13C2",989741568,KM1906
220623_Smp_MQBlk_2,"Arsenobetaine, 13C2",1077278976,KM1906
220623_Smp_MQBlk_3,"Arsenobetaine, 13C2",1017873536,KM1906
220623_Smp_MQBlk_4,"Arsenobetaine, 13C2",945740608,KM1906
220623_Smp_MQBlk_5,"Arsenobetaine, 13C2",1015931008,KM1906
220623_Smp_MQBlk_6,"Arsenobetaine, 13C2",988356416,KM1906
220623_Smp_MU1_A,"Arsenobetaine, 13C2",996124416,KM1906
220623_Smp_MU1_B,"Arsenobetaine, 13C2",926562112,KM1906
220623_Smp_MU1_C,"Arsenobetaine, 13C2",945785664,KM1906
220623_Smp_MU10_A,"Arsenobetaine, 13C2",957577984,KM1906
220623_Smp_MU10_B,"Arsenobetaine, 13C2",1010453824,KM1906
220623_Smp_MU10_C,"Arsenobetaine, 13C2",1050748928,KM1906
220623_Smp_MU11_A,"Arsenobetaine, 13C2",1024548032,KM1906
220623_Smp_MU11_B,"Arsenobetaine, 13C2",1089972992,KM1906
220623_Smp_MU11_C,"Arsenobetaine, 13C2",971478656,KM1906
220623_Smp_MU12_A,"Arsenobetaine, 13C2",1038684288,KM1906
220623_Smp_MU12_B,"Arsenobetaine, 13C2",1071712704,KM1906
220623_Smp_MU12_C,"Arsenobetaine, 13C2",1032901184,KM1906
220623_Smp_MU13_A,"Arsenobetaine, 13C2",1057606656,KM1906
220623_Smp_MU13_B,"Arsenobetaine, 13C2",907660224,KM1906
220623_Smp_MU13_C,"Arsenobetaine, 13C2",948447744,KM1906
220623_Smp_MU14_A,"Arsenobetaine, 13C2",1022166592,KM1906
220623_Smp_MU14_B,"Arsenobetaine, 13C2",927670656,KM1906
220623_Smp_MU14_C,"Arsenobetaine, 13C2",944710144,KM1906
220623_Smp_MU15_A,"Arsenobetaine, 13C2",965762240,KM1906
220623_Smp_MU15_B,"Arsenobetaine, 13C2",1026179584,KM1906
220623_Smp_MU15_C,"Arsenobetaine, 13C2",959696960,KM1906
220623_Smp_MU16_A,"Arsenobetaine, 13C2",1066964800,KM1906
220623_Smp_MU16_B,"Arsenobetaine, 13C2",987191552,KM1906
220623_Smp_MU16_C,"Arsenobetaine, 13C2",914307840,KM1906
220623_Smp_MU17_A,"Arsenobetaine, 13C2",933796800,KM1906
220623_Smp_MU17_B,"Arsenobetaine, 13C2",990639424,KM1906
220623_Smp_MU2_A,"Arsenobetaine, 13C2",1024200192,KM1906
220623_Smp_MU2_B,"Arsenobetaine, 13C2",934186944,KM1906
220623_Smp_MU2_C,"Arsenobetaine, 13C2",970539776,KM1906
220623_Smp_MU3_A,"Arsenobetaine, 13C2",988770944,KM1906
220623_Smp_MU3_B,"Arsenobetaine, 13C2",976829888,KM1906
220623_Smp_MU3_C,"Arsenobetaine, 13C2",1031623168,KM1906
220623_Smp_MU4_A,"Arsenobetaine, 13C2",1012137344,KM1906
220623_Smp_MU4_B,"Arsenobetaine, 13C2",942905280,KM1906
220623_Smp_MU4_C,"Arsenobetaine, 13C2",1024803328,KM1906
220623_Smp_MU5_A,"Arsenobetaine, 13C2",973806528,KM1906
220623_Smp_MU5_B,"Arsenobetaine, 13C2",946044800,KM1906
220623_Smp_MU5_C,"Arsenobetaine, 13C2",976459456,KM1906
220623_Smp_MU6_A,"Arsenobetaine, 13C2",999393408,KM1906
220623_Smp_MU6_B,"Arsenobetaine, 13C2",1023097152,KM1906
220623_Smp_MU6_C,"Arsenobetaine, 13C2",953033344,KM1906
220623_Smp_MU7_A,"Arsenobetaine, 13C2",978855296,KM1906
220623_Smp_MU7_B,"Arsenobetaine, 13C2",1040956224,KM1906
220623_Smp_MU7_C,"Arsenobetaine, 13C2",983042368,KM1906
220623_Smp_MU8_A,"Arsenobetaine, 13C2",999354496,KM1906
220623_Smp_MU8_B,"Arsenobetaine, 13C2",962217408,KM1906
220623_Smp_MU8_C,"Arsenobetaine, 13C2",990979136,KM1906
220623_Smp_MU9_A,"Arsenobetaine, 13C2",1077782016,KM1906
220623_Smp_MU9_B,"Arsenobetaine, 13C2",1005847808,KM1906
220623_Smp_MU9_C,"Arsenobetaine, 13C2",1023555904,KM1906
220623_Std_4uMStdsMix1InH2O_1,"Cytosine, 13C2, 15N3",NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,"Cytosine, 13C2, 15N3",NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,"Cytosine, 13C2, 15N3",55234928,KM1906
220623_Std_4uMStdsMix1InMatrix_2,"Cytosine, 13C2, 15N3",59930532,KM1906
220623_Std_4uMStdsMix2InH2O_1,"Cytosine, 13C2, 15N3",NA,KM1906
220623_Std_4uMStdsMix2InH2O_2,"Cytosine, 13C2, 15N3",NA,KM1906
220623_Std_4uMStdsMix2InMatrix_1,"Cytosine, 13C2, 15N3",42487288,KM1906
220623_Std_4uMStdsMix2InMatrix_2,"Cytosine, 13C2, 15N3",49373016,KM1906
220623_Std_H2OinMatrix_1,"Cytosine, 13C2, 15N3",52996848,KM1906
220623_Std_H2OinMatrix_2,"Cytosine, 13C2, 15N3",64011080,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,"Cytosine, 13C2, 15N3",89134976,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,"Cytosine, 13C2, 15N3",98429408,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,"Cytosine, 13C2, 15N3",135597712,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,"Cytosine, 13C2, 15N3",46028896,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,"Cytosine, 13C2, 15N3",49821004,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,"Cytosine, 13C2, 15N3",69514568,KM1906
220623_Smp_CXSPE_Blk1_A,"Cytosine, 13C2, 15N3",88600352,KM1906
220623_Smp_CXSPE_Blk1_B,"Cytosine, 13C2, 15N3",56352584,KM1906
220623_Smp_CXSPE_Blk1_C,"Cytosine, 13C2, 15N3",119022920,KM1906
220623_Smp_CXSPE_Blk2_A,"Cytosine, 13C2, 15N3",77426128,KM1906
220623_Smp_CXSPE_Blk2_B,"Cytosine, 13C2, 15N3",78539792,KM1906
220623_Smp_CXSPE_Blk2_C,"Cytosine, 13C2, 15N3",34626556,KM1906
220623_Smp_CXSPE_Blk3_A,"Cytosine, 13C2, 15N3",80535688,KM1906
